Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Description,Baths,Balcony,Predicted_Price
11435247.812709142,11873018.88815644,₹1.99 Cr,10918687.915367385,2583,7700.0,11873018.88815644,4.0,1.0,19895000.0
11903356.326880751,12211300.921500236,₹2.25 Cr,11903356.326880751,7000,3210.0,12211300.921500236,6.0,1.0,22500000.0
10584944.991962763,10027938.220052335,₹1.0 Cr,10584944.991962763,1320,7580.0,10584944.991962763,3.0,0.0,10000000.0
13616472.444620613,13616472.444620613,₹3.33 Cr,13616472.444620613,4250,7840.0,13616472.444620613,5.0,1.0,33186000.0
9908380.925275173,8329542.792668456,₹48.0 L,7314618.373705261,960,5000.0,9908380.925275173,3.0,1.0,4800000.0
9580545.139135264,9821984.53327429,₹40.0 L,9612481.435390005,940,4250.0,9804294.145784775,3.0,0.0,4000000.0
10064511.094510771,9556929.360367011,₹60.0 L,10064511.094510771,880,6820.0,10064511.094510771,3.0,1.0,6000000.0
10060633.36782835,10086377.578675605,₹72.35 L,8794345.984449811,1700,4250.0,10225195.060349073,3.0,1.0,7240890.0
9830315.840657374,9423942.893159391,₹42.0 L,9830315.840657374,840,5000.0,9830315.840657374,3.0,0.0,4200000.0
9674185.671421777,8921281.708313724,₹30.0 L,9674185.671421777,535,5610.0,9674185.671421777,2.0,0.0,3000000.0
9520262.382144451,9439880.32611511,₹29.4 L,8794345.984449811,581,5060.0,9666379.162959997,2.0,1.0,2941580.0
10975270.415051756,10525320.187668307,₹1.3 Cr,10975270.415051756,1444,9000.0,10975270.415051756,3.0,0.0,13000000.0
20343080.569187604,20343080.569187604,₹8.5 Cr,14512579.749644293,6000,14170.0,20343080.569187604,1.0,1.0,84913333.33333333
10780107.70350726,10697287.702080986,₹1.15 Cr,10780107.70350726,878,13100.0,10780107.70350726,3.0,1.0,11500000.0
9921391.772711473,9391818.140615776,₹49.0 L,9921391.772711473,944,5190.0,9921391.772711473,3.0,0.0,4900000.0
9931626.524763972,9931626.524763972,₹57.0 L,9631988.909632334,1317,4330.0,10025478.55220187,3.0,0.0,5700000.0
9609131.434240278,9450799.131081406,₹25.0 L,9609131.434240278,820,3050.0,9609131.434240278,3.0,0.0,2500000.0
12666680.581770727,14336102.089924116,₹2.6 Cr,12666680.581770727,1658,15680.0,12666680.581770727,3.0,1.0,26000000.0
11876372.5588853,13148081.93691382,₹2.97 Cr,12984138.034864396,4200,7070.0,13148081.93691382,5.0,1.0,29670000.0
11903356.326880751,11391617.53301335,₹1.62 Cr,11903356.326880751,2838,5710.0,11391617.53301335,4.0,1.0,16213333.333333336
10689031.77145316,10704714.828471629,₹1.08 Cr,10689031.77145316,1566,6900.0,10689031.77145316,3.0,0.0,10799666.666666666
10584944.991962763,10584944.991962763,₹1.0 Cr,10584944.991962763,2350,4250.0,10584944.991962763,4.0,1.0,10000000.0
9690172.932265565,9522709.508828573,₹40.0 L,9690172.932265565,868,4610.0,9804294.145784775,3.0,1.0,4000000.0
10441825.670163464,10135324.211660665,₹89.0 L,10441825.670163464,926,9610.0,10441825.670163464,3.0,1.0,8900000.0
10103543.63681967,10194117.776863791,₹63.0 L,10103543.63681967,1090,5780.0,10103543.63681967,3.0,1.0,6300000.0
10454836.517599765,10748776.123775497,₹90.0 L,10454836.517599765,1307,6880.0,10454836.517599765,3.0,1.0,9000000.0
9761192.470286034,9609131.434240278,₹25.0 L,9440508.567801427,605,4130.0,9609131.434240278,2.0,1.0,2500000.0
9927897.196429623,9414073.1585544,₹49.5 L,9927897.196429623,967,5120.0,9927897.196429623,3.0,1.0,4949800.0
9661174.823985478,9661174.823985478,₹29.0 L,9661174.823985478,586,4950.0,9661174.823985478,2.0,0.0,2900000.0
9869348.382966274,9498573.607491793,₹45.0 L,10080570.142909482,1038,4330.0,9869348.382966274,3.0,0.0,4500000.0
10194619.568873769,10591233.976551238,₹70.0 L,9880225.661473168,1500,4670.0,10194619.568873769,3.0,0.0,7000000.0
9882359.230402574,9882359.230402574,₹46.0 L,9882359.230402574,1133,4060.0,9882359.230402574,3.0,1.0,4600000.0
10977332.056176867,10448331.093881615,₹89.5 L,10965931.01525297,1100,8140.000000000001,10448331.093881615,3.0,1.0,9123266.666666666
9869348.382966274,9840314.411397535,₹45.0 L,9869348.382966274,1024,4390.0,9869348.382966274,3.0,0.0,4500000.0
9881978.6520488,9986446.009892972,₹54.0 L,9881978.6520488,1508,3580.0,9986446.009892972,3.0,1.0,5400000.0
10415803.975290865,10626696.74277636,₹87.0 L,9726873.330541268,1782,4880.0,10415803.975290865,3.0,1.0,8700000.0
15254013.022045258,12536572.10740773,₹2.5 Cr,14158483.887703173,2500,10000.0,12536572.10740773,4.0,1.0,25000000.0
10194619.568873769,10080570.142909482,₹70.0 L,10194619.568873769,900,7780.0,10194619.568873769,3.0,1.0,7000000.0
9622142.281676577,9190184.264034346,₹26.0 L,9622142.281676577,537,4840.0,9622142.281676577,2.0,1.0,2600000.0
10647974.402511435,10454836.517599765,₹90.0 L,10647974.402511435,1292,6960.0,10454836.517599765,3.0,1.0,9000000.0
9986446.009892972,10013537.540882759,₹54.0 L,10496148.296976428,1096,4930.0,9986446.009892972,3.0,0.0,5400100.0
12406463.633044733,12406463.633044733,₹2.4 Cr,12406463.633044733,2300,10430.0,12406463.633044733,4.0,1.0,24000000.0
9661174.823985478,9520258.436552556,₹29.0 L,9661174.823985478,586,4950.0,9661174.823985478,2.0,0.0,2900000.0
10165680.781849775,10454836.517599765,₹90.0 L,10165680.781849775,1112,8090.0,10454836.517599765,3.0,0.0,9000000.0
8380846.067894762,9445089.286470463,₹24.8 L,6328891.776814004,560,4430.0,9606529.264753018,2.0,1.0,2478356.6666666665
